no_surat,konten,isi_surat,jenis
210,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan di fmipa ugm (ke tiga).
",bukan keduanya
211,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop update validasi aplikasi metode low frequency passive
seismic untuk kegiatan eksplorasi dan pengembangan lapangan migas yang dilaksanakan di marriott
hotel yogyakarta pada tanggal 8 desember 2022.
",bukan keduanya
212,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tenaga harian lepas membantu pumk prodi sarjana di
departemen fisika fakultas mipa ugm yang dilaksanakan pada tanggal 1 november 2022 s.d. 31
desember 2022.
",bukan keduanya
213,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelitian pemetaan intensitas gempabumi dalam program tanggap
darurat bencana gempabumi fmipa yang dilaksanakan di cianjur, jawa barat pada tanggal 23
november 2022 s.d. 29 november 2022.
",bukan keduanya
214,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
",bukan keduanya
215,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan ujian tengah semester (uts) sebagai pengawas ujian tengah semester
pada semester gasal tahun akademik 2022/2023 program studi magister matematika departemen
matematika fakultas mipa ugm yang dilaksanakan di fakultas mipa ugm pada tanggal 3 oktober
2022 s.d. 14 oktober 2022.
",bukan keduanya
216,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
",bukan keduanya
217,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan akreditasi internasional asiin oleh program studi matematika fakultas
sains dan teknologi universitas airlangga yang dilaksanakan secara daring pada tanggal 20 maret
2023.
",bukan keduanya
218,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi matematika yang dilaksanakan di ruang sidang ii departemen matematika lt. 3 pada tanggal 17
april 2023.
",bukan keduanya
219,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing pendamping tugas akhir/thesis bagi mahasiswa
program magister program studi fisika departemen fisika fakultas matematika dan ilmu pengetahuan
alam universitas gadjah mada pada semester gasal 2022/2023.
",bukan keduanya
220,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
",bukan keduanya
221,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan intersystem fhir executive briefing and hand-on workshop yang
dilaksanakan di pullman jakarta indonesia thamrin cbd, no 59 jalan m.h. thamrin, kec. menteng
10350, indonesia pada tanggal 13 desember 2022 s.d. 14 desember 2022.
",bukan keduanya
222,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelaksanaan olimpiade sains nasional (osn) jenjang sma/ma tahun
2022 yang dilaksanakan secara daring dan luring di novotel bandung, jl cihampelas no.23 25, pasir
kaliki, kec. cicendo, kota bandung, jawa barat pada tanggal 2 oktober 2022 s.d. 8 oktober 2022.
",bukan keduanya
223,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan kewirausahaan bidang keterampilan usaha produktif/tenun
cual dengan pewarna alami pada program pk2umk tahun 2022 provinsi kepulauan bangka belitung
yang dilaksanakan di bangka belitung pada tanggal 26 september 2022 s.d. 27 september 2022.
",bukan keduanya
224,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan pada tanggal 29 november 2022 s.d. 30 november
2022.
",bukan keduanya
225,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sman 2 malang yang dilaksanakan di
auditorium lt. 7 fakultas mipa ugm pada tanggal 12 oktober 2022.
",bukan keduanya
226,hide," aktif terdaftar sebagai mahasiswa pada semester tahun akademik di fakultas matematika
dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa pendidikan indonesia
(bpi).
",bukan keduanya
227,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan perkuliahan sebagai asisten praktikum teknik laboratorium s2 kimia
organik pada semester gasal tahun akademik 2022/2023 yang dilaksanakan di laboratorium kimia
organik departemen kimia fakultas mipa ugm pada tanggal 1 oktober 2022 s.d. 31 desember 2022.
",bukan keduanya
228,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengajuan pensiun orang tua
",bukan keduanya
229,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan perkuliahan sebagai asisten mata kuliah fisika dasar ii program studi
fisika departemen fisika fakultas mipa ugm pada semester genap tahun akademik 2021/2022
yang dilaksanakan pada tanggal 1 februari 2022 s.d. 30 juli 2022.
",bukan keduanya
230,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seminar nasional pendidikan matematika (senapeka) yang
dilaksanakan secara daring menggunakan aplikasi zoom meeting pada tanggal 29 oktober 2022.
",bukan keduanya
231,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing(tolong abaikan) yang dilaksanakan pada tanggal 2 desember 2.
",bukan keduanya
232,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan asia-pacific actuarial teaching conference, hyatt regency bangkok
sukhumvit, 1, sukhumvit soi 13 (bts nana) bangkok, bangkok metropolitan 10110, th dan diskusi
inisiasi kolaborasi bidang penelitian dan pendidikan dengan mahidol university, bangkok yang
dilaksanakan pada tanggal 12 desember 2022 s.d. 15 desember 2022.
",penelitian
233,hide,,bukan keduanya
234,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pembimbingan kerja praktik bagi mahasiswa program sarjana program
studi matematika departemen matematika fakultas mipa ugm pada semester gasal tahun ajaran
2022/2023 yang dilaksanakan pada tanggal 1 agustus 2022 s.d. 31 januari 2023.
",bukan keduanya
235,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop pengembangan prodi sains pada fakultas sains dan
teknologi yang dilaksanakan di ruang rapat lt 2 fakultas sains dan teknologi, fakultas sains dan
teknologi uin sunan kalijaga yogyakarta pada tanggal 30 november 2022.
",bukan keduanya
236,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa pendidikan indonesia
(bpi).
",bukan keduanya
237,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop optimalisasi pengelolaan kelompok penelitian (research
group) uad yang dilaksanakan di ruang multimedia lantai 6 gedung lab. praktik terpadu kampus 4
uad, jl. ringroad selatan, tamanan, bantul pada tanggal 2 desember 2022.
",bukan keduanya
238,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengambilan uang pensiunan
orang tua.
",bukan keduanya
239,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 6 april 2023.
",bukan keduanya
240,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pemantauan pelaksanaan osn-k tahun 2023 yang dilaksanakan di kota
semarang, jawa tengah pada tanggal 4 april 2023 s.d. 7 april 2023.
kegiatan ini dilaksanakan oleh balai pengembangan talenta indonesia, sekretariat jenderal
kementerian pendidikan, kebudayaan, riset, dan teknologi sesuai dengan surat undangan nomor.
0576/j7.1/pn.01/2023 tertanggal 2 april 2023. semua biaya transportasi dan akomodasi akan
ditanggung oleh balai pengembangan talenta indonesia sesuai dengan peraturan menteri keuangan
tentang standar biaya masukan tahun anggaran 2023.
",bukan keduanya
241,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan delegasi ugm bidang lomba national statistics competition
pada kompetisi statistika ria dan festival sains data (satria data) 2022 yang dilaksanakan secara
daring menggunakan aplikasi zoom meeting pada tanggal 1 november 2022.
",bukan keduanya
242,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan the 8th international conference on ion exchange (icie 2022) yang
dilaksanakan di sophia university, tokyo japan pada tanggal 4 november 2022 s.d. 7 november 2022.
",bukan keduanya
243,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan bimbingan teknis dengan tema ""refreshing implementasi pedoman
pertanggungjawaban"" yang dilaksanakan di the alana yogyakarta hotel & convention center, jl.
palagan tentara pelajar no.km.7, mudal, sariharjo, kec. ngaglik, kabupaten sleman pada tanggal 11
november 2022 s.d. 12 november 2022.
",bukan keduanya
244,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan praktikum di laboratorium kimia dasar sebagai instruktur praktikum
kimia dasar i/ anorganik departemen kimia fakultas mipa ugm pada semester gasal tahun
akademik 2022/2023 yang dilaksanakan pada tanggal 1 agustus 2022 s.d. 31 januari 2023.
",bukan keduanya
245,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelitian minyak atsiri lada di provinsi kepulauan bangka belitung
sebagai salah satu tindak lanjut dari perjanjian kerjasama antara dinas koperasi dan ukm provinsi
kepulauan bangka belitung dengan fmipa ugm yang dilaksanakan di uptd balai latihan koperasi
dan ukm provinsi kepulauan bangka belitungpada tanggal 1 september 2022 s.d. 30 november 2022.
",bukan keduanya
246,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
",bukan keduanya
247,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan lomba matematika nasional tahun 2022 yang dilaksanakan di ruang
auditorium lt. 7 gedung s1 fmipa ugm pada tanggal 19 november 2022 s.d. 20 november 2022.
",bukan keduanya
248,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
249,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing(tolong abaikan) yang dilaksanakan di lapangan pada tanggal 16
november 2022 s.d. 17 november 2022.
",pengabdian masyarakat
250,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pemateri pada credit earning satria data 2022 yang dilaksanakan secara
daring / online pada tanggal 26 oktober 2022.
",bukan keduanya
251,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kunjungan penelitian dan pengambilan sampel tanah dan foctr4 untuk
penelitian e-nose foctr4 yang dilaksanakan di pt. great giant pineapple, lampung pada tanggal 16
oktober 2022 s.d. 19 oktober 2022.
",penelitian
252,hide,,bukan keduanya
253,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tenaga harian lepas di laboratorium fisika material dan
instrumentasi departemen fisika fakultas mipa ugm .
",bukan keduanya
254,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop asisten eksperimen fisika atom dan molekul yang
dilaksanakan di laboratorium fisika atom & inti, departemen fisika, fmipa ugm pada tanggal 18
maret 2023.
",bukan keduanya
255,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai interviewer seleksi subtansi calon penerima beasiswa lpdp
tahun 2023 yang dilaksanakan secara daring menggunakan aplikasi zoom meeting pada tanggal 9 mei
2023 s.d. 12 mei 2023.
",bukan keduanya
256,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembahas fgd i pelaksanaan mata kuliah tugas khusus sem
genap ta. 2022/2023 yang dilaksanakan di program studi magister ilmu komputer departemen ike
fmipa ugm pada tanggal 12 april 2023.
",bukan keduanya
257,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran beasiswa kalimantan
timur stimulan 2023.
",bukan keduanya
258,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan surat tugas praktikum laboratorium geofisika yang dilaksanakan pada
semester gasal tahun ajaran 2022/2023 yang dilaksanakan di kelas dan lapangan (yogyakarta, jawa
tengah dan jawa timur) pada tanggal 1 agustus 2022 s.d. 31 desember 2022.
praktikum  kelas dan lapangan dilaksanakan dalam semester gasal tahun ajaran 2022/2023 rentan waktu
dari bulan agustus s/d desember 2022
 
",bukan keduanya
259,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
260,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengawas ujian seleksi gelombang 1 semester genap tahun akademik
2022/2023 prodi magister ilmu komputer yang dilaksanakan secara daring terpantau pada tanggal 19
november 2022.
",bukan keduanya
261,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pelaksanaan ujian asai pai a40
- akuntansi pada bulan mei 2023.
",bukan keduanya
262,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kuliah umum konversi motor(bbm ke listrik) pln innovation &
competition in electricity (ice) tahun 2022 yang dilaksanakan di universitas pendidikan indonesia
pada tanggal 14 september 2022 s.d. 15 september 2022.
",bukan keduanya
263,hide,,bukan keduanya
264,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan professorship kimia analisis dasar jurusan kimia fakultas teknik
universitas bangka belitung tahun 2022 yang dilaksanakan di fakultas teknik universitas bangka
belitung provinsi kepulauan bangka belitung pada tanggal 12 november 2022 s.d. 14 november 2022.
",bukan keduanya
265,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengaturan lalu lintas/parkir kendaraan untuk sementara waktu di
lingkungan fakultas mipa ugm sehubungan dengan pelaksanaan pengembangan diri tendik fmipa
ugm tahun 2022 yang dilaksanakan pada tanggal 29 oktober 2022 s.d. 30 oktober 2022.
",bukan keduanya
266,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan stadium general dengan tema ?penulisan dan strategi publikasi ilmiah?
yang dilaksanakan di ruang sidang 1 deapartemen matematika lantai 3 pada tanggal 12 april 2023.
",bukan keduanya
267,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan .
",bukan keduanya
268,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan pencegahan dan penanganan kasus kekerasan seksual bagi
dosen dan tendik fakultas dan unit kerja di ugm yang dilaksanakan di ruang auditorium, sekolah
pascasarjana, universitas gadjah mada pada tanggal 29 november 2022 s.d. 30 november 2022.
",bukan keduanya
269,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi perpanjangan masa aktif bpjs
kesehatan.
",bukan keduanya
270,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim seleksi calon mahasiswa baru program studi doktor
matematika gelombang i semester genap ta 2022/2023 yang dilaksanakan secara daring di ruang
sidang/diskusi sic lantai 2 pada tanggal 16 november 2022.
",bukan keduanya
271,hide," aktif terdaftar sebagai mahasiswa pada semester ganjil tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengajuan beasiswa ke markas
besar tni al.
",bukan keduanya
272,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan the 4th materials research society of indonesia (mrs-id) meeting
2022 yang dilaksanakan di malang pada tanggal 26 september 2022 s.d. 27 september 2022.
",bukan keduanya
273,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan perkuliahan sebagai anggota penguji bagi mahasiswa di departemen
fisika fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada yang dilaksanakan
pada tanggal 2 september 2022 s.d. 18 september 2022.
",bukan keduanya
274,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seleksi calon reviewer penelitian (batch 2) yang dilaksanakan di hotel
millenium sirih jakarta jl. h. fachrudin no.3, kp. bali, tanah abang, jakarta pada tanggal 7 desember
2022 s.d. 10 desember 2022.
",penelitian
275,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penilaian karya dan babak penyisihan gemastik tahun 2022 yang
dilaksanakan secara daring pada tanggal 27 oktober 2022 s.d. 10 november 2022.
",bukan keduanya
276,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
277,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sman 2 tangerang selatan yang
dilaksanakan di auditorium lt. 7 fakultas mipa ugm pada tanggal 18 november 2022.
",bukan keduanya
278,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan diskusi tentang sistem akreditasi lamtek dan lamsama yang
dilaksanakan di gedung jurusan fisika, fakultas mipa universitas brawijaya pada tanggal 11 oktober
2022.
kegiatan ini diselenggarakan oleh asosiasi penyeleggara pendidikan geofisika indonesia (appgi).
",bukan keduanya
279,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan munas aptikom 2022, di bali yang dilaksanakan di sanur denpasar,
bali pada tanggal 8 desember 2022 s.d. 10 desember 2022.
",bukan keduanya
280,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengenalan dan diseminasi departemen fisika dalam rangka top
challenge of physics(top cop) 2022 yang dilaksanakan di departemen fisika fakultas mipa
universitas gadjah mada pada tanggal 12 november 2022.
",bukan keduanya
281,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan monitoring dan evaluasi p2m dosen dan staf kependidikan dike 2022
yang dilaksanakan di ruang kelas fmipa dan ruang sidang dike pada tanggal 5 november 2022,
dan 11 november 2022.
",bukan keduanya
282,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penerjemah dokumen pendukung akreditasi asiin program studi
magister fisika yang dilaksanakan di program studi magister fisika, departemen fisika fakultas mipa
universitas gadjah mada pada tanggal 1 maret 2022 s.d. 31 desember 2022.
",bukan keduanya
283,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi syarat pendaftaran ujian aktuaris
periode 1 tahun 2023
",bukan keduanya
284,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengaktifan kembali status
kepesertaan bpjs kesehatan.
",bukan keduanya
285,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing(tolong abaikan) yang dilaksanakan di lapangan pada tanggal 28
november 2022 s.d. 29 november 2022.
",pengabdian masyarakat
286,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan .
",bukan keduanya
287,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai narasumber workshop strategi pengelolaan laboratorium
menuju good laboratory practice (glp) yang dilaksanakan di upn veteran yogyakarta pada tanggal
16 maret 2023.
",bukan keduanya
288,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi matematika yang dilaksanakan di ruang sidang departemen matematika lt. 1 pada tanggal 7
februari 2023.
",bukan keduanya
289,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 6 april 2023.
",bukan keduanya
290,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai interviewer seleksi substansi calon penerima beasiswa lpdp
2023 yang dilaksanakan secara daring via zoom meeting pada tanggal 2 mei 2023 s.d. 26 mei 2023.
",bukan keduanya
291,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan bimbingan dan pelatihan teknologi informasi yang dilaksanakan di
fmipa lab komdas pada tanggal 29 maret 2023.
pelatihan bimtek tendik labkomdas
",bukan keduanya
292,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengajuan pensiun orang tua
(ayah).
",bukan keduanya
293,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing (tolong abaikan) yang dilaksanakan di testing (tolong abaikan)
pada tanggal 14 maret 2023 s.d. 17 maret 2023.
testing (tolong abaikan)
",bukan keduanya
294,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pengurusan beasiswa pendidikan
indonesia tahun 2023.
",bukan keduanya
295,hide,,bukan keduanya
296,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan rpkps program pra s2 ilmu komputer periode maret ?
juni 2023 yang dilaksanakan di program studi magister ilmu komputer departemen ike fmipa
ugm.
",bukan keduanya
297,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rapat dengan pengurus kamipagama membahas pembentukan advisory
board fmipa, pembangunan science innovations hub, dan temu alumni fmipa tahun 2023 yang
dilaksanakan di jakartapada tanggal 4 desember 2022.
",bukan keduanya
298,hide," aktif terdaftar sebagai mahasiswa pada semester ganjil tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi laporan progres simonev
beasiswa lpdp.
",bukan keduanya
299,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelaksanaan olimpiade sains nasional (osn) jenjang sma/ma tahun
2022 yang dilaksanakan di novotel bandung, jl. cihampelas no.23 25 pasir kaliki, kec. cicendo, kota
bandung, jawa barat pada tanggal 2 oktober 2022 s.d. 8 september 2022.
",bukan keduanya
300,hide," melaksanakan testing (tolong abaikan) di testing (tolong abaikan) dari 3 april 2023 s.d 5
april 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
301,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop proteksi radiasi yang dilaksanakan di laboratorium fisika
atom & inti, departemen fisika, fmipa ugm pada tanggal 25 maret 2023.
",bukan keduanya
302,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 28 februari 2023.
",bukan keduanya
303,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan klinik proposal penelitian drtpm kemendikbud-ristek tahun 2023
sesi-3 yang dilaksanakan secara daring menggunakan aplikasi zoom meeting pada tanggal 27 maret
2023.
",penelitian
304,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rapat finalisasi pedoman satria data tahun 2023 yang dilaksanakan di
hotel grand savero bogor. jl. raya pajajaran no.27, rt.03/rw.08, babakan, kecamatan bogor
tengah, kota bogor, jawa barat 16128 pada tanggal 8 april 2023 s.d. 10 april 2023.
",bukan keduanya
305,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asisten praktikum kimia anorganik pada semester gasal ta
2022/2023 yang dilaksanakan di laboratorium kimia anorganik departemen kimia fmipa ugm pada
tanggal 1 september 2022 s.d. 30 november 2022.
",bukan keduanya
306,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan inisiasi kerja sama dalam bidang pendidikan dan penelitian antara
fakultas mipa ugm dengan department of computer information and network engineering,
lunghwa university of science and technology yang dilaksanakan di lunghwa university of science
and technology, taiwan pada tanggal 9 desember 2022 s.d. 14 desember 2022.
",penelitian
307,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan review kurikulum obe dan pendampingan akreditasi asiin yang
dilaksanakan di ruang sidang lt. 1 fakultas sains dan teknologi pada tanggal 4 november 2022 s.d. 6
november 2022.
",bukan keduanya
